,rank02,artist_names,track_name,source,peak_rank,stream02,streams09,streams16,streams23,peak_rank23,rank09,rank16,rank23,weeks_on_chart
0,1,Harry Styles,As It Was,Columbia,1,60420855,57221016,52664030,NaN,NaN,1,1,NaN,NaN
1,2,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,39026161,56282016,48454109,51573121,1,2,2,2,12
2,3,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,3,37623538,39839157,39250562,41664565,1,3,3,3,4
3,4,Kate Bush,Running Up That Hill (A Deal With God),Parlophone UK,4,32763806,37479812,36890599,39503992,2,4,NaN,4,7
4,5,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,5,31126704,32543225,35698157,33922802,5,5,5,5,7
5,6,Harry Styles,Late Night Talking,Columbia,2,29782237,27519714,33246446,33712344,3,6,6,6,7
6,7,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,2,28354270,25669809,31936642,NaN,NaN,7,NaN,NaN,NaN
7,8,"Bad Bunny, Rauw Alejandro",Party,Rimas Entertainment LLC,6,25225316,25101509,26468494,26720466,7,8,8,8,7
8,9,Lizzo,About Damn Time,Nice Life/Atlantic,9,24606401,25061392,26181330,24767676,2,9,9,9,7
9,10,KAROL G,PROVENZA,UMLE - Latino,6,24057487,NaN,24369831,NaN,NaN,NaN,10,NaN,NaN
10,11,Glass Animals,Heat Waves,Polydor Records,1,23389223,24221324,23885529,23099826,1,11,NaN,11,78
11,12,Jack Harlow,First Class,Generation Now/Atlantic,2,23194068,24029422,23057684,23080186,6,12,12,12,9
12,13,Bad Bunny,Efecto,Rimas Entertainment LLC,13,22024056,23533957,22959921,21654601,13,13,13,13,9
13,14,Harry Styles,Matilda,Columbia,5,19806676,22150283,22642420,21514330,9,14,14,14,8
14,15,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,19313990,21077467,22475693,20304159,2,15,15,15,5
15,16,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,5,19043848,19362515,21830469,20181831,6,16,16,16,7
16,17,Harry Styles,Music For a Sushi Restaurant,Columbia,6,18452649,19302179,20258576,NaN,NaN,17,17,NaN,NaN
17,18,Bad Bunny,Después de la Playa,Rimas Entertainment LLC,7,17961998,19140766,18854209,NaN,NaN,18,18,NaN,NaN
18,19,"Bad Bunny, Jhay Cortez",Tarot,Rimas Entertainment LLC,9,17804884,17713807,18645803,18563902,2,19,19,19,11
19,20,Harry Styles,Daylight,Columbia,10,17589223,17049379,18615102,18365092,1,20,NaN,20,50
20,21,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,4,16663633,16997794,18203495,NaN,NaN,21,21,NaN,NaN
21,22,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,11,16520142,16576631,16721006,18114036,9,22,22,22,7
22,23,Harry Styles,Little Freak,Columbia,8,16510238,15176089,16406414,17773600,5,23,23,23,16
23,24,"Kanye West, XXXTENTACION",True Love,Columbia,24,16005890,14942180,15715843,NaN,NaN,24,24,NaN,NaN
